,key,values,0
3456,"['2018', 'A06', '00', '2']","['103.7', '.', '1.0', '78793', '13.03', '94405', '...', '...']",
3457,"['2018', 'A06', '00', '1']","['104.2', '.', '1.1', '53041', '13.57', '61495', '14.31', '9092']",
3458,"['2018', 'A06', '00', '0']","['102.8', '.', '0.7', '25752', '11.46', '32910', '...', '...']",
3459,"['2018', 'A06', '01', '2']","['104.2', '.', '1.1', '31974', '16.02', '38493', '...', '...']",
3460,"['2018', 'A06', '01', '1']","['104.6', '.', '1.3', '24157', '16.87', '28420', '17.82', '4271']",
3461,"['2018', 'A06', '01', '0']","['102.9', '.', '0.7', '7817', '12.83', '10073', '...', '...']",
3462,"['2018', 'A06', '02', '2']","['103.9', '.', '1.1', '31831', '12.55', '38624', '...', '...']",
3463,"['2018', 'A06', '02', '1']","['104.3', '.', '1.1', '21442', '12.89', '24855', '13.61', '3655']",
3464,"['2018', 'A06', '02', '0']","['103.1', '.', '1.0', '10389', '11.46', '13769', '...', '...']",
3465,"['2018', 'A06', '03', '2']","['102.9', '.', '0.7', '14988', '11.26', '17288', '...', '...']",
3466,"['2018', 'A06', '03', '1']","['103.4', '.', '0.8', '7442', '11.51', '8220', '11.87', '1166']",
3467,"['2018', 'A06', '03', '0']","['102.1', '.', '0.5', '7546', '10.72', '9068', '...', '...']",
3468,"['2018', '837', '00', '2']","['104.2', '.', '1.0', '62744', '13.91', '74012', '...', '...']",
3469,"['2018', '837', '00', '1']","['104.7', '.', '1.2', '44483', '14.48', '50829', '15.30', '7755']",
3470,"['2018', '837', '00', '0']","['103.1', '.', '0.7', '18261', '12.02', '23183', '...', '...']",
3471,"['2018', '837', '01', '2']","['104.6', '.', '1.2', '26393', '16.94', '31402', '...', '...']",
3472,"['2018', '837', '01', '1']","['104.9', '.', '1.3', '20627', '17.68', '24031', '18.55', '3688']",
3473,"['2018', '837', '01', '0']","['103.4', '.', '0.5', '5766', '13.57', '7371', '...', '...']",
3474,"['2018', '837', '02', '2']","['104.5', '.', '1.1', '25305', '13.29', '30025', '...', '...']",
3475,"['2018', '837', '02', '1']","['104.9', '.', '1.2', '18017', '13.59', '20462', '14.25', '3153']",
3476,"['2018', '837', '02', '0']","['103.4', '.', '0.9', '7288', '12.14', '9563', '...', '...']",
3477,"['2018', '837', '03', '2']","['103.2', '.', '0.7', '11046', '11.79', '12585', '...', '...']",
3478,"['2018', '837', '03', '1']","['103.7', '.', '0.9', '5839', '12.18', '6336', '12.84', '914']",
3479,"['2018', '837', '03', '0']","['102.4', '.', '0.5', '5207', '11.01', '6249', '...', '...']",
3480,"['2018', '837-1', '00', '2']","['104.2', '.', '0.9', '19243', '15.18', '23103', '...', '...']",
3481,"['2018', '837-1', '00', '1']","['104.3', '.', '1.0', '17572', '15.36', '20964', '16.26', '3138']",
3482,"['2018', '837-1', '00', '0']","['103.6', '.', '0.6', '1671', '12.78', '2139', '...', '...']",
3483,"['2018', '837-1', '01', '2']","['104.3', '.', '1.0', '11000', '17.93', '13198', '...', '...']",
3484,"['2018', '837-1', '01', '1']","['104.2', '.', '1.0', '10465', '18.10', '12514', '18.86', '1893']",
3485,"['2018', '837-1', '01', '0']","['105.3', '.', '1.1', '535', '14.47', '684', '...', '...']",
3486,"['2018', '837-1', '02', '2']","['104.9', '.', '1.1', '6443', '14.14', '7829', '...', '...']",
3487,"['2018', '837-1', '02', '1']","['105.1', '.', '1.1', '5714', '14.24', '6871', '15.02', '1048']",
3488,"['2018', '837-1', '02', '0']","['103.3', '.', '0.4', '729', '12.92', '958', '...', '...']",
3489,"['2018', '837-1', '03', '2']","['102.8', '.', '0.6', '1800', '12.76', '2076', '...', '...']",
3490,"['2018', '837-1', '03', '1']","['102.8', '.', '0.6', '1393', '12.96', '1579', '14.01', '197']",
3491,"['2018', '837-1', '03', '0']","['103.0', '.', '0.6', '407', '11.28', '497', '...', '...']",
3492,"['2018', '837-2', '00', '2']","['104.5', '.', '1.3', '13132', '13.85', '15316', '...', '...']",
3493,"['2018', '837-2', '00', '1']","['105.0', '.', '1.5', '8931', '14.44', '10006', '15.43', '1658']",
3494,"['2018', '837-2', '00', '0']","['103.7', '.', '1.0', '4201', '12.35', '5310', '...', '...']",
3495,"['2018', '837-2', '01', '2']","['104.9', '.', '1.6', '4078', '16.49', '5036', '...', '...']",
3496,"['2018', '837-2', '01', '1']","['105.7', '.', '1.9', '2788', '17.53', '3358', '18.75', '591']",
3497,"['2018', '837-2', '01', '0']","['103.2', '.', '0.7', '1290', '13.44', '1678', '...', '...']",
3498,"['2018', '837-2', '02', '2']","['104.5', '.', '1.4', '6367', '13.50', '7293', '...', '...']",
3499,"['2018', '837-2', '02', '1']","['104.4', '.', '1.3', '4682', '13.84', '5110', '14.42', '840']",
3500,"['2018', '837-2', '02', '0']","['104.3', '.', '1.4', '1685', '12.44', '2183', '...', '...']",
3501,"['2018', '837-2', '03', '2']","['104.3', '.', '1.1', '2687', '11.98', '2987', '...', '...']",
3502,"['2018', '837-2', '03', '1']","['105.3', '.', '1.4', '1461', '12.23', '1538', '12.79', '227']",
3503,"['2018', '837-2', '03', '0']","['103.2', '.', '0.6', '1226', '11.58', '1449', '...', '...']",
3504,"['2018', '837-3', '00', '2']","['104.0', '.', '1.0', '30369', '12.74', '35593', '...', '...']",
3505,"['2018', '837-3', '00', '1']","['105.0', '.', '1.2', '17980', '13.30', '19859', '13.87', '2959']",
3506,"['2018', '837-3', '00', '0']","['102.7', '.', '0.6', '12389', '11.75', '15734', '...', '...']",
3507,"['2018', '837-3', '01', '2']","['104.9', '.', '1.2', '11315', '15.81', '13168', '...', '...']",
3508,"['2018', '837-3', '01', '1']","['105.8', '.', '1.5', '7374', '16.94', '8159', '17.68', '1204']",
3509,"['2018', '837-3', '01', '0']","['103.0', '.', '0.4', '3941', '13.45', '5009', '...', '...']",
3510,"['2018', '837-3', '02', '2']","['104.1', '.', '1.1', '12495', '12.31', '14903', '...', '...']",
3511,"['2018', '837-3', '02', '1']","['105.0', '.', '1.3', '7621', '12.54', '8481', '13.00', '1265']",
3512,"['2018', '837-3', '02', '0']","['103.0', '.', '0.8', '4874', '11.85', '6422', '...', '...']",
3513,"['2018', '837-3', '03', '2']","['103.0', '.', '0.6', '6559', '11.19', '7522', '...', '...']",
3514,"['2018', '837-3', '03', '1']","['104.0', '.', '0.8', '2985', '11.52', '3219', '12.10', '490']",
3515,"['2018', '837-3', '03', '0']","['102.0', '.', '0.4', '3574', '10.76', '4303', '...', '...']",
3516,"['2018', 'A07', '00', '2']","['103.6', '.', '1.0', '30539', '12.02', '37720', '...', '...']",
3517,"['2018', 'A07', '00', '1']","['102.9', '.', '0.4', '19989', '12.43', '23553', '13.03', '3499']",
3518,"['2018', 'A07', '00', '0']","['104.7', '.', '1.9', '10550', '11.19', '14167', '...', '...']",
3519,"['2018', 'A07', '01', '2']","['104.2', '.', '1.1', '10113', '14.51', '12428', '...', '...']",
3520,"['2018', 'A07', '01', '1']","['103.4', '.', '0.9', '7939', '15.12', '9392', '15.82', '1334']",
3521,"['2018', 'A07', '01', '0']","['106.0', '.', '1.6', '2174', '12.72', '3036', '...', '...']",
3522,"['2018', 'A07', '02', '2']","['103.6', '.', '0.7', '14085', '11.80', '17652', '...', '...']",
3523,"['2018', 'A07', '02', '1']","['102.8', '.', '0.0', '9174', '12.07', '10822', '12.66', '1622']",
3524,"['2018', 'A07', '02', '0']","['104.9', '.', '1.9', '4911', '11.20', '6830', '...', '...']",
3525,"['2018', 'A07', '03', '2']","['103.1', '.', '1.2', '6341', '10.61', '7640', '...', '...']",
3526,"['2018', 'A07', '03', '1']","['102.5', '.', '0.4', '2876', '10.70', '3339', '11.47', '543']",
3527,"['2018', 'A07', '03', '0']","['103.8', '.', '2.1', '3465', '10.49', '4301', '...', '...']",
3528,"['2018', '398', '00', '2']","['103.6', '.', '1.0', '24627', '12.63', '30380', '...', '...']",
3529,"['2018', '398', '00', '1']","['103.1', '.', '0.4', '16676', '13.10', '19509', '13.56', '3069']",
3530,"['2018', '398', '00', '0']","['104.6', '.', '2.0', '7951', '11.63', '10871', '...', '...']",
3531,"['2018', '398', '01', '2']","['104.2', '.', '1.1', '8067', '15.38', '9932', '...', '...']",
3532,"['2018', '398', '01', '1']","['103.6', '.', '0.9', '6498', '16.01', '7678', '16.42', '1169']",
3533,"['2018', '398', '01', '0']","['105.9', '.', '1.8', '1569', '13.38', '2254', '...', '...']",
3534,"['2018', '398', '02', '2']","['103.7', '.', '0.8', '11415', '12.39', '14262', '...', '...']",
3535,"['2018', '398', '02', '1']","['102.9', '.', '0.1', '7765', '12.68', '9073', '13.05', '1428']",
3536,"['2018', '398', '02', '0']","['104.9', '.', '2.0', '3650', '11.73', '5189', '...', '...']",
3537,"['2018', '398', '03', '2']","['103.1', '.', '1.2', '5145', '10.97', '6186', '...', '...']",
3538,"['2018', '398', '03', '1']","['102.7', '.', '0.5', '2413', '11.14', '2758', '11.93', '472']",
3539,"['2018', '398', '03', '0']","['103.6', '.', '2.1', '2732', '10.71', '3428', '...', '...']",
3540,"['2018', '398-1', '00', '2']","['103.3', '.', '0.9', '9217', '13.71', '11680', '...', '...']",
3541,"['2018', '398-1', '00', '1']","['102.6', '.', '0.5', '6808', '14.09', '8233', '14.61', '1382']",
3542,"['2018', '398-1', '00', '0']","['104.8', '.', '1.9', '2409', '12.52', '3447', '...', '...']",
3543,"['2018', '398-1', '01', '2']","['103.9', '.', '1.1', '3589', '16.22', '4492', '...', '...']",
3544,"['2018', '398-1', '01', '1']","['102.8', '.', '0.8', '3117', '16.69', '3716', '17.18', '588']",
3545,"['2018', '398-1', '01', '0']","['107.2', '.', '2.1', '472', '14.12', '776', '...', '...']",
3546,"['2018', '398-1', '02', '2']","['103.3', '.', '0.7', '3772', '13.54', '5019', '...', '...']",
3547,"['2018', '398-1', '02', '1']","['102.1', '.', '0.0', '2651', '13.77', '3321', '14.13', '551']",
3548,"['2018', '398-1', '02', '0']","['105.5', '.', '2.1', '1121', '12.76', '1698', '...', '...']",
3549,"['2018', '398-1', '03', '2']","['102.8', '.', '1.2', '1856', '11.73', '2169', '...', '...']",
3550,"['2018', '398-1', '03', '1']","['103.3', '.', '1.0', '1040', '11.88', '1196', '12.94', '243']",
3551,"['2018', '398-1', '03', '0']","['102.1', '.', '1.5', '816', '11.40', '973', '...', '...']",
3552,"['2018', '398-2', '00', '2']","['103.9', '.', '1.1', '15410', '11.79', '18700', '...', '...']",
3553,"['2018', '398-2', '00', '1']","['103.5', '.', '0.3', '9868', '12.16', '11276', '12.46', '1687']",
3554,"['2018', '398-2', '00', '0']","['104.5', '.', '2.1', '5542', '11.18', '7424', '...', '...']",
3555,"['2018', '398-2', '01', '2']","['104.6', '.', '1.2', '4478', '14.50', '5440', '...', '...']",
3556,"['2018', '398-2', '01', '1']","['104.5', '.', '1.1', '3381', '15.18', '3962', '15.42', '581']",
3557,"['2018', '398-2', '01', '0']","['104.8', '.', '1.5', '1097', '12.91', '1478', '...', '...']",
3558,"['2018', '398-2', '02', '2']","['104.0', '.', '0.9', '7643', '11.59', '9243', '...', '...']",
3559,"['2018', '398-2', '02', '1']","['103.7', '.', '0.1', '5114', '11.76', '5752', '12.05', '877']",
3560,"['2018', '398-2', '02', '0']","['104.6', '.', '2.0', '2529', '11.27', '3491', '...', '...']",
3561,"['2018', '398-2', '03', '2']","['103.3', '.', '1.3', '3289', '10.41', '4017', '...', '...']",
3562,"['2018', '398-2', '03', '1']","['102.0', '.', '-0.1', '1373', '10.44', '1562', '10.79', '229']",
3563,"['2018', '398-2', '03', '0']","['104.4', '.', '2.5', '1916', '10.37', '2455', '...', '...']",
3564,"['2018', 'A08', '00', '2']","['103.0', '.', '0.7', '18256', '10.47', '23136', '...', '...']",
3565,"['2018', 'A08', '00', '1']","['102.9', '.', '0.8', '10475', '10.80', '12844', '11.38', '1506']",
3566,"['2018', 'A08', '00', '0']","['103.2', '.', '0.5', '7781', '9.94', '10292', '...', '...']",
3567,"['2018', 'A08', '01', '2']","['103.3', '.', '0.8', '6267', '12.37', '7820', '...', '...']",
3568,"['2018', 'A08', '01', '1']","['103.3', '.', '0.9', '4826', '13.06', '5857', '13.72', '739']",
3569,"['2018', 'A08', '01', '0']","['103.5', '.', '0.6', '1441', '10.65', '1963', '...', '...']",
3570,"['2018', 'A08', '02', '2']","['103.2', '.', '0.8', '8407', '10.24', '10903', '...', '...']",
3571,"['2018', 'A08', '02', '1']","['102.8', '.', '0.9', '4163', '10.42', '5210', '10.83', '584']",
3572,"['2018', 'A08', '02', '0']","['103.5', '.', '0.7', '4244', '9.97', '5693', '...', '...']",
3573,"['2018', 'A08', '03', '2']","['102.5', '.', '0.3', '3582', '9.46', '4413', '...', '...']",
3574,"['2018', 'A08', '03', '1']","['102.4', '.', '0.3', '1486', '9.38', '1777', '9.78', '183']",
3575,"['2018', 'A08', '03', '0']","['102.6', '.', '0.3', '2096', '9.57', '2636', '...', '...']",
3576,"['2018', '285', '00', '2']","['102.9', '.', '0.6', '7500', '11.08', '9491', '...', '...']",
3577,"['2018', '285', '00', '1']","['102.8', '.', '0.6', '4289', '11.27', '5250', '11.95', '638']",
3578,"['2018', '285', '00', '0']","['103.0', '.', '0.6', '3211', '10.74', '4241', '...', '...']",
3579,"['2018', '285', '01', '2']","['103.4', '.', '0.7', '2701', '13.19', '3375', '...', '...']",
3580,"['2018', '285', '01', '1']","['103.5', '.', '0.8', '2126', '13.70', '2594', '14.49', '336']",
3581,"['2018', '285', '01', '0']","['103.1', '.', '0.6', '575', '11.56', '781', '...', '...']",
3582,"['2018', '285', '02', '2']","['103.1', '.', '0.8', '3460', '10.78', '4479', '...', '...']",
3583,"['2018', '285', '02', '1']","['102.7', '.', '0.7', '1631', '10.76', '2017', '11.24', '232']",
3584,"['2018', '285', '02', '0']","['103.5', '.', '0.8', '1829', '10.81', '2462', '...', '...']",
3585,"['2018', '285', '03', '2']","['102.1', '.', '0.2', '1339', '9.93', '1637', '...', '...']",
3586,"['2018', '285', '03', '1']","['102.1', '.', '0.1', '532', '9.69', '639', '10.21', '70']",
3587,"['2018', '285', '03', '0']","['102.0', '.', '0.3', '807', '10.25', '998', '...', '...']",
3588,"['2018', '285-1', '00', '2']","['103.7', '.', '0.9', '2780', '12.22', '3629', '...', '...']",
3589,"['2018', '285-1', '00', '1']","['103.9', '.', '0.8', '1904', '12.45', '2400', '13.38', '315']",
3590,"['2018', '285-1', '00', '0']","['103.4', '.', '0.9', '876', '11.75', '1229', '...', '...']",
3591,"['2018', '285-1', '01', '2']","['104.2', '.', '0.8', '1154', '14.59', '1478', '...', '...']",
3592,"['2018', '285-1', '01', '1']","['104.4', '.', '0.8', '995', '14.92', '1261', '15.77', '184']",
3593,"['2018', '285-1', '01', '0']","['103.5', '.', '0.8', '159', '13.01', '217', '...', '...']",
3594,"['2018', '285-1', '02', '2']","['103.9', '.', '1.2', '1284', '11.73', '1709', '...', '...']",
3595,"['2018', '285-1', '02', '1']","['103.7', '.', '1.2', '776', '11.74', '977', '12.40', '115']",
3596,"['2018', '285-1', '02', '0']","['104.1', '.', '1.2', '508', '11.70', '732', '...', '...']",
3597,"['2018', '285-1', '03', '2']","['102.6', '.', '0.0', '342', '10.77', '442', '...', '...']",
3598,"['2018', '285-1', '03', '1']","['103.3', '.', '-0.3', '133', '10.31', '162', '...', '...']",
3599,"['2018', '285-1', '03', '0']","['101.9', '.', '0.4', '209', '11.30', '280', '...', '...']",
3600,"['2018', '285-2', '00', '2']","['102.1', '.', '0.4', '4720', '10.23', '5862', '...', '...']",
3601,"['2018', '285-2', '00', '1']","['101.5', '.', '0.4', '2385', '10.31', '2850', '10.68', '323']",
3602,"['2018', '285-2', '00', '0']","['102.7', '.', '0.3', '2335', '10.10', '3012', '...', '...']",
3603,"['2018', '285-2', '01', '2']","['102.5', '.', '0.7', '1547', '12.00', '1897', '...', '...']",
3604,"['2018', '285-2', '01', '1']","['102.2', '.', '0.8', '1131', '12.48', '1333', '12.91', '152']",
3605,"['2018', '285-2', '01', '0']","['102.9', '.', '0.4', '416', '10.83', '564', '...', '...']",
3606,"['2018', '285-2', '02', '2']","['102.2', '.', '0.3', '2176', '9.92', '2770', '...', '...']",
3607,"['2018', '285-2', '02', '1']","['101.3', '.', '0.1', '855', '9.74', '1040', '9.97', '117']",
3608,"['2018', '285-2', '02', '0']","['102.9', '.', '0.4', '1321', '10.17', '1730', '...', '...']",
3609,"['2018', '285-2', '03', '2']","['101.7', '.', '0.3', '997', '9.54', '1195', '...', '...']",
3610,"['2018', '285-2', '03', '1']","['101.2', '.', '0.4', '399', '9.45', '477', '9.94', '54']",
3611,"['2018', '285-2', '03', '0']","['102.1', '.', '0.2', '598', '9.69', '718', '...', '...']",
3612,"['2018', '286', '00', '2']","['103.8', '.', '0.8', '8826', '10.15', '11094', '...', '...']",
3613,"['2018', '286', '00', '1']","['103.8', '.', '1.1', '5264', '10.61', '6408', '11.10', '748']",
3614,"['2018', '286', '00', '0']","['103.7', '.', '0.5', '3562', '9.40', '4686', '...', '...']",
3615,"['2018', '286', '01', '2']","['103.8', '.', '1.0', '3016', '11.95', '3693', '...', '...']",
3616,"['2018', '286', '01', '1']","['103.5', '.', '1.1', '2367', '12.70', '2825', '13.29', '350']",
3617,"['2018', '286', '01', '0']","['104.4', '.', '0.6', '649', '9.99', '868', '...', '...']",
3618,"['2018', '286', '02', '2']","['103.7', '.', '0.9', '4038', '9.92', '5226', '...', '...']",
3619,"['2018', '286', '02', '1']","['103.6', '.', '1.2', '2144', '10.23', '2688', '10.57', '307']",
3620,"['2018', '286', '02', '0']","['103.8', '.', '0.6', '1894', '9.40', '2538', '...', '...']",
3621,"['2018', '286', '03', '2']","['103.8', '.', '0.5', '1772', '9.20', '2175', '...', '...']",
3622,"['2018', '286', '03', '1']","['104.2', '.', '0.8', '753', '9.25', '895', '9.59', '91']",
3623,"['2018', '286', '03', '0']","['103.3', '.', '0.4', '1019', '9.13', '1280', '...', '...']",
3624,"['2018', 'A09', '00', '2']","['104.2', '.', '1.0', '13370', '11.80', '16516', '...', '...']",
3625,"['2018', 'A09', '00', '1']","['104.0', '.', '1.0', '6406', '12.55', '7563', '13.35', '1136']",
3626,"['2018', 'A09', '00', '0']","['104.4', '.', '1.0', '6964', '10.68', '8953', '...', '...']",
3627,"['2018', 'A09', '01', '2']","['104.4', '.', '1.2', '4761', '13.90', '5900', '...', '...']",
3628,"['2018', 'A09', '01', '1']","['104.5', '.', '1.3', '2942', '15.01', '3533', '15.98', '542']",
3629,"['2018', 'A09', '01', '0']","['104.1', '.', '0.9', '1819', '11.71', '2367', '...', '...']",
3630,"['2018', 'A09', '02', '2']","['104.7', '.', '1.2', '6106', '11.44', '7618', '...', '...']",
3631,"['2018', 'A09', '02', '1']","['104.6', '.', '1.3', '2603', '12.00', '3035', '12.62', '453']",
3632,"['2018', 'A09', '02', '0']","['104.7', '.', '1.1', '3503', '10.58', '4583', '...', '...']",
3633,"['2018', 'A09', '03', '2']","['102.9', '.', '0.5', '2503', '10.45', '2998', '...', '...']",
3634,"['2018', 'A09', '03', '1']","['101.7', '.', '0.0', '861', '10.74', '995', '11.23', '141']",
3635,"['2018', 'A09', '03', '0']","['103.9', '.', '1.0', '1642', '10.11', '2003', '...', '...']",
3636,"['2018', '405', '00', '2']","['103.4', '.', '0.9', '10166', '12.36', '12310', '...', '...']",
3637,"['2018', '405', '00', '1']","['103.2', '.', '0.9', '4813', '13.21', '5570', '13.87', '920']",
3638,"['2018', '405', '00', '0']","['103.6', '.', '0.7', '5353', '11.00', '6740', '...', '...']",
3639,"['2018', '405', '01', '2']","['103.8', '.', '1.1', '3624', '14.59', '4433', '...', '...']",
3640,"['2018', '405', '01', '1']","['104.0', '.', '1.3', '2145', '15.86', '2557', '16.48', '436']",
3641,"['2018', '405', '01', '0']","['103.4', '.', '0.6', '1479', '12.09', '1876', '...', '...']",
3642,"['2018', '405', '02', '2']","['103.9', '.', '1.0', '4608', '11.96', '5621', '...', '...']",
3643,"['2018', '405', '02', '1']","['103.8', '.', '1.3', '2006', '12.65', '2275', '12.99', '377']",
3644,"['2018', '405', '02', '0']","['103.8', '.', '0.8', '2602', '10.83', '3346', '...', '...']",
3645,"['2018', '405', '03', '2']","['102.0', '.', '0.3', '1934', '10.89', '2256', '...', '...']",
3646,"['2018', '405', '03', '1']","['100.8', '.', '-0.3', '662', '11.24', '738', '11.90', '107']",
3647,"['2018', '405', '03', '0']","['103.2', '.', '0.8', '1272', '10.44', '1518', '...', '...']",
3648,"['2018', '405-1', '00', '2']","['103.5', '.', '0.8', '2979', '14.14', '3587', '...', '...']",
3649,"['2018', '405-1', '00', '1']","['102.7', '.', '0.6', '2299', '14.69', '2681', '15.66', '461']",
3650,"['2018', '405-1', '00', '0']","['105.4', '.', '1.5', '680', '12.27', '906', '...', '...']",
3651,"['2018', '405-1', '01', '2']","['104.2', '.', '1.3', '1212', '16.40', '1482', '...', '...']",
3652,"['2018', '405-1', '01', '1']","['103.8', '.', '1.3', '1072', '17.05', '1299', '17.40', '243']",
3653,"['2018', '405-1', '01', '0']","['105.8', '.', '1.2', '140', '13.55', '183', '...', '...']",
3654,"['2018', '405-1', '02', '2']","['104.2', '.', '1.2', '1241', '13.67', '1508', '...', '...']",
3655,"['2018', '405-1', '02', '1']","['103.4', '.', '0.9', '953', '14.05', '1085', '14.96', '168']",
3656,"['2018', '405-1', '02', '0']","['106.1', '.', '1.7', '288', '12.19', '423', '...', '...']",
3657,"['2018', '405-1', '03', '2']","['100.7', '.', '-0.7', '526', '11.95', '597', '...', '...']",
3658,"['2018', '405-1', '03', '1']","['98.9', '.', '-1.9', '274', '12.24', '297', '13.25', '50']",
3659,"['2018', '405-1', '03', '0']","['103.8', '.', '1.4', '252', '11.36', '300', '...', '...']",
3660,"['2018', '405-2', '00', '2']","['103.3', '.', '0.9', '7187', '11.14', '8723', '...', '...']",
3661,"['2018', '405-2', '00', '1']","['103.8', '.', '1.3', '2514', '11.66', '2889', '11.99', '459']",
3662,"['2018', '405-2', '00', '0']","['102.9', '.', '0.5', '4673', '10.59', '5834', '...', '...']",
3663,"['2018', '405-2', '01', '2']","['103.4', '.', '0.9', '2412', '12.79', '2951', '...', '...']",
3664,"['2018', '405-2', '01', '1']","['104.2', '.', '1.3', '1073', '13.99', '1258', '14.72', '193']",
3665,"['2018', '405-2', '01', '0']","['102.4', '.', '0.4', '1339', '11.52', '1693', '...', '...']",
3666,"['2018', '405-2', '02', '2']","['103.7', '.', '0.9', '3367', '10.88', '4113', '...', '...']",
3667,"['2018', '405-2', '02', '1']","['104.3', '.', '1.6', '1053', '11.28', '1190', '11.42', '209']",
3668,"['2018', '405-2', '02', '0']","['103.1', '.', '0.4', '2314', '10.47', '2923', '...', '...']",
3669,"['2018', '405-2', '03', '2']","['102.7', '.', '0.8', '1408', '10.30', '1659', '...', '...']",
3670,"['2018', '405-2', '03', '1']","['102.3', '.', '0.9', '388', '10.49', '441', '10.75', '57']",
3671,"['2018', '405-2', '03', '0']","['103.0', '.', '0.6', '1020', '10.11', '1218', '...', '...']",
3672,"['2018', 'A10', '00', '2']","['104.2', '.', '1.0', '13570', '11.02', '17507', '...', '...']",
3673,"['2018', 'A10', '00', '1']","['104.3', '.', '1.1', '6952', '11.28', '8754', '11.92', '1172']",
3674,"['2018', 'A10', '00', '0']","['104.1', '.', '0.9', '6618', '10.64', '8753', '...', '...']",
3675,"['2018', 'A10', '01', '2']","['103.7', '.', '1.2', '5122', '13.09', '6506', '...', '...']",
3676,"['2018', 'A10', '01', '1']","['103.5', '.', '1.3', '3400', '13.89', '4210', '14.97', '606']",
3677,"['2018', 'A10', '01', '0']","['104.0', '.', '1.1', '1722', '11.49', '2296', '...', '...']",
3678,"['2018', 'A10', '02', '2']","['104.7', '.', '1.0', '6000', '10.63', '7940', '...', '...']",
3679,"['2018', 'A10', '02', '1']","['105.2', '.', '0.9', '2819', '10.71', '3589', '11.10', '453']",
3680,"['2018', 'A10', '02', '0']","['104.3', '.', '1.0', '3181', '10.52', '4351', '...', '...']",
3681,"['2018', 'A10', '03', '2']","['103.8', '.', '0.8', '2448', '9.96', '3061', '...', '...']",
3682,"['2018', 'A10', '03', '1']","['103.7', '.', '1.4', '733', '9.61', '955', '9.82', '113']",
3683,"['2018', 'A10', '03', '0']","['103.9', '.', '0.4', '1715', '10.33', '2106', '...', '...']",
3684,"['2018', '491', '00', '2']","['104.4', '.', '0.8', '6120', '11.96', '7955', '...', '...']",
3685,"['2018', '491', '00', '1']","['106.4', '.', '1.5', '3120', '12.49', '4001', '13.09', '604']",
3686,"['2018', '491', '00', '0']","['102.0', '.', '-0.1', '3000', '11.01', '3954', '...', '...']",
3687,"['2018', '491', '01', '2']","['103.8', '.', '1.4', '2231', '14.85', '2827', '...', '...']",
3688,"['2018', '491', '01', '1']","['104.3', '.', '1.8', '1623', '15.73', '2020', '16.53', '328']",
3689,"['2018', '491', '01', '0']","['102.4', '.', '0.3', '608', '12.14', '807', '...', '...']",
3690,"['2018', '491', '02', '2']","['105.3', '.', '0.7', '2610', '11.51', '3528', '...', '...']",
3691,"['2018', '491', '02', '1']","['107.9', '.', '1.0', '1176', '11.76', '1543', '12.13', '220']",
3692,"['2018', '491', '02', '0']","['102.4', '.', '0.2', '1434', '11.03', '1985', '...', '...']",
3693,"['2018', '491', '03', '2']","['103.7', '.', '0.6', '1279', '10.49', '1600', '...', '...']",
3694,"['2018', '491', '03', '1']","['106.7', '.', '2.2', '321', '10.42', '438', '10.63', '56']",
3695,"['2018', '491', '03', '0']","['101.4', '.', '-0.6', '958', '10.56', '1162', '...', '...']",
3696,"['2018', 'A11', '00', '2']","['105.1', '.', '1.5', '33411', '12.17', '41132', '...', '...']",
3697,"['2018', 'A11', '00', '1']","['105.0', '.', '1.4', '19244', '12.96', '23122', '13.51', '3620']",
3698,"['2018', 'A11', '00', '0']","['105.1', '.', '1.6', '14167', '10.61', '18010', '...', '...']",
3699,"['2018', 'A11', '01', '2']","['106.0', '.', '2.0', '11014', '14.54', '13527', '...', '...']",
3700,"['2018', 'A11', '01', '1']","['106.0', '.', '2.1', '8095', '15.57', '9614', '16.09', '1487']",
3701,"['2018', 'A11', '01', '0']","['106.1', '.', '1.9', '2919', '11.70', '3913', '...', '...']",
3702,"['2018', 'A11', '02', '2']","['105.1', '.', '1.4', '15741', '11.90', '19610', '...', '...']",
3703,"['2018', 'A11', '02', '1']","['104.9', '.', '1.4', '8670', '12.56', '10543', '13.07', '1640']",
3704,"['2018', 'A11', '02', '0']","['105.4', '.', '1.5', '7071', '10.57', '9067', '...', '...']",
3705,"['2018', 'A11', '03', '2']","['104.0', '.', '1.0', '6656', '10.77', '7995', '...', '...']",
3706,"['2018', 'A11', '03', '1']","['104.0', '.', '0.7', '2479', '11.23', '2965', '11.94', '493']",
3707,"['2018', 'A11', '03', '0']","['104.1', '.', '1.4', '4177', '10.12', '5030', '...', '...']",
3708,"['2018', '297', '00', '2']","['105.4', '.', '1.7', '24241', '13.14', '29221', '...', '...']",
3709,"['2018', '297', '00', '1']","['105.2', '.', '1.6', '14603', '14.03', '17273', '14.47', '2862']",
3710,"['2018', '297', '00', '0']","['105.7', '.', '1.7', '9638', '11.23', '11948', '...', '...']",
3711,"['2018', '297', '01', '2']","['107.0', '.', '2.3', '8135', '16.08', '9798', '...', '...']",
3712,"['2018', '297', '01', '1']","['107.1', '.', '2.5', '6181', '17.11', '7245', '17.60', '1163']",
3713,"['2018', '297', '01', '0']","['106.9', '.', '2.0', '1954', '12.76', '2553', '...', '...']",
3714,"['2018', '297', '02', '2']","['105.6', '.', '1.6', '11215', '12.95', '13609', '...', '...']",
