,key,values,0
118,"['2015', '049', '03', '1']","['100.0', '.', '.', '5859', '13.78', '5867', '14.74', '916']",
119,"['2015', '049', '03', '0']","['100.0', '.', '.', '9866', '11.57', '9872', '...', '...']",
120,"['2015', '049-1', '00', '2']","['100.0', '.', '.', '5638', '15.15', '5653', '...', '...']",
121,"['2015', '049-1', '00', '1']","['100.0', '.', '.', '4372', '15.36', '4383', '17.56', '852']",
122,"['2015', '049-1', '00', '0']","['100.0', '.', '.', '1266', '14.02', '1270', '...', '...']",
123,"['2015', '049-1', '01', '2']","['100.0', '.', '.', '1811', '20.51', '1816', '...', '...']",
124,"['2015', '049-1', '01', '1']","['100.0', '.', '.', '1538', '20.91', '1541', '21.04', '286']",
125,"['2015', '049-1', '01', '0']","['100.0', '.', '.', '273', '17.27', '275', '...', '...']",
126,"['2015', '049-1', '02', '2']","['100.0', '.', '.', '2267', '14.45', '2273', '...', '...']",
127,"['2015', '049-1', '02', '1']","['100.0', '.', '.', '1701', '14.52', '1705', '18.28', '347']",
128,"['2015', '049-1', '02', '0']","['100.0', '.', '.', '566', '13.97', '568', '...', '...']",
129,"['2015', '049-1', '03', '2']","['100.0', '.', '.', '1560', '13.62', '1564', '...', '...']",
130,"['2015', '049-1', '03', '1']","['100.0', '.', '.', '1133', '13.69', '1137', '15.67', '219']",
131,"['2015', '049-1', '03', '0']","['100.0', '.', '.', '427', '13.33', '427', '...', '...']",
132,"['2015', '049-2', '00', '2']","['100.0', '.', '.', '18528', '14.24', '18541', '...', '...']",
133,"['2015', '049-2', '00', '1']","['100.0', '.', '.', '7298', '16.02', '7298', '17.42', '1215']",
134,"['2015', '049-2', '00', '0']","['100.0', '.', '.', '11230', '12.58', '11243', '...', '...']",
135,"['2015', '049-2', '01', '2']","['100.0', '.', '.', '3642', '17.97', '3645', '...', '...']",
136,"['2015', '049-2', '01', '1']","['100.0', '.', '.', '1977', '20.13', '1977', '21.03', '252']",
137,"['2015', '049-2', '01', '0']","['100.0', '.', '.', '1665', '14.67', '1668', '...', '...']",
138,"['2015', '049-2', '02', '2']","['100.0', '.', '.', '8256', '14.48', '8261', '...', '...']",
139,"['2015', '049-2', '02', '1']","['100.0', '.', '.', '3552', '15.69', '3552', '17.79', '633']",
140,"['2015', '049-2', '02', '0']","['100.0', '.', '.', '4704', '12.90', '4709', '...', '...']",
141,"['2015', '049-2', '03', '2']","['100.0', '.', '.', '6630', '12.95', '6635', '...', '...']",
142,"['2015', '049-2', '03', '1']","['100.0', '.', '.', '1769', '14.61', '1769', '15.67', '330']",
143,"['2015', '049-2', '03', '0']","['100.0', '.', '.', '4861', '11.99', '4866', '...', '...']",
144,"['2015', '049-3', '00', '2']","['100.0', '.', '.', '20853', '13.11', '20881', '...', '...']",
145,"['2015', '049-3', '00', '1']","['100.0', '.', '.', '10205', '14.58', '10223', '15.15', '1212']",
146,"['2015', '049-3', '00', '0']","['100.0', '.', '.', '10648', '11.42', '10658', '...', '...']",
147,"['2015', '049-3', '01', '2']","['100.0', '.', '.', '4593', '17.03', '4609', '...', '...']",
148,"['2015', '049-3', '01', '1']","['100.0', '.', '.', '2687', '18.61', '2694', '19.53', '286']",
149,"['2015', '049-3', '01', '0']","['100.0', '.', '.', '1906', '13.18', '1915', '...', '...']",
150,"['2015', '049-3', '02', '2']","['100.0', '.', '.', '8725', '13.21', '8732', '...', '...']",
151,"['2015', '049-3', '02', '1']","['100.0', '.', '.', '4561', '14.27', '4568', '15.75', '559']",
152,"['2015', '049-3', '02', '0']","['100.0', '.', '.', '4164', '11.83', '4164', '...', '...']",
153,"['2015', '049-3', '03', '2']","['100.0', '.', '.', '7535', '12.03', '7540', '...', '...']",
154,"['2015', '049-3', '03', '1']","['100.0', '.', '.', '2957', '13.29', '2961', '13.38', '367']",
155,"['2015', '049-3', '03', '0']","['100.0', '.', '.', '4578', '10.93', '4579', '...', '...']",
156,"['2015', '092', '00', '2']","['100.0', '.', '.', '47847', '14.15', '47878', '...', '...']",
157,"['2015', '092', '00', '1']","['100.0', '.', '.', '26068', '15.30', '26092', '16.37', '3497']",
158,"['2015', '092', '00', '0']","['100.0', '.', '.', '21779', '12.73', '21786', '...', '...']",
159,"['2015', '092', '01', '2']","['100.0', '.', '.', '9638', '17.52', '9652', '...', '...']",
160,"['2015', '092', '01', '1']","['100.0', '.', '.', '6626', '18.73', '6640', '19.97', '687']",
161,"['2015', '092', '01', '0']","['100.0', '.', '.', '3012', '14.28', '3012', '...', '...']",
162,"['2015', '092', '02', '2']","['100.0', '.', '.', '21648', '14.09', '21654', '...', '...']",
163,"['2015', '092', '02', '1']","['100.0', '.', '.', '12335', '14.87', '12339', '16.49', '1705']",
164,"['2015', '092', '02', '0']","['100.0', '.', '.', '9313', '13.02', '9315', '...', '...']",
165,"['2015', '092', '03', '2']","['100.0', '.', '.', '16561', '13.05', '16572', '...', '...']",
166,"['2015', '092', '03', '1']","['100.0', '.', '.', '7107', '14.01', '7113', '14.94', '1105']",
167,"['2015', '092', '03', '0']","['100.0', '.', '.', '9454', '12.23', '9459', '...', '...']",
