"","vuosi_","maakunta","omaluok","N","tulkotielaintuotto","tulkasvituotto","tulpuutarhatuotto","tulmuutulo","tultuet","tulliikevaihto","tulvarastomuutos","tulluovutukset","tultilatuotto","tulinvestointituki","tulmuutuotto","tulkokonaistuotto_vara","tultarvikkeet","tultilakaytto","tulelaintenosto","tulostopalvelut","tulpalkat","tulkonevuokra","tulmuumuuttuva","tulpalkkavaatimus","tulvuokrat","tulvakuutuksetyht","tulkoneymskpito","tulmuukiintea","tulkayttokate","tulrakepoisto","tulkonepoisto","tulmuupoisto","tulliiketulos","tulnettorahoituskulut","tulnettotulos","tuloponkorko","tulyrittajanvoitto_vara","eyelain","otos"
"143",23,6,1,224595,27343.1479166,18710.777403,18805.7158218,1506.43117683,42162.9548523,108529.027171,-2884.84968668,82.3291653866,7676.48598535,566.199767003,4624.62243634,118593.814838,-26090.495815,-7676.48598535,-1704.65735515,-9857.0821614,-6713.7491588,-785.201819364,-5416.0950819,-24110.477544,-6919.62674267,-7300.42142105,-8643.94409982,-5767.23011803,7608.34753543,-8348.59580788,-10257.8409928,-1058.10178615,-12056.1910514,-2936.56174706,-14992.7527985,-9938.78077001,-24931.5335685,11.9371738463,37
"144",23,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",23,7,1,102200,25672.0456654,45834.344638,6847.19015656,-1776.74125245,58161.5376614,134738.376869,-2400.21277886,160.121986301,9866.70370841,854.813855186,1375.55944227,144595.363082,-33864.1717221,-9866.70370841,-50.0189823875,-7246.75746575,-1672.58610568,-6.32876712329,-3095.91433464,-27265.4246575,-8107.56886497,-7939.50277886,-12914.8021233,-6495.19191781,26070.3916536,-7384.30478474,-21175.0058121,-2106.21632094,-4595.13526419,-929.971643836,-5525.10690802,-16745.3991389,-22270.506047,10.1276320939,14
"146",23,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",23,8,1,110198,23167.5529142,23982.3398338,13272.5737218,1830.80655402,48783.4004472,111036.673471,4229.85380315,24.6511718906,8950.74583586,544.583390806,1955.9024122,126742.410085,-29587.2821881,-8950.74583586,-2192.34443456,-9122.08091236,-3434.55280441,-1516.94151836,-3780.30548268,-19082.8893083,-7800.17378718,-7044.04548576,-10033.7556689,-5288.86595383,18908.4267047,-4983.20797165,-16143.6316757,-983.371339952,-3201.78428265,-2339.16710412,-5540.95138678,-11570.2717107,-17111.2230975,10.885133124,22
"148",23,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",23,9,1,76092,38526.493521,14357.9498398,173.819061137,2739.76774812,50023.3773996,105821.40757,963.151475057,33.5581664301,11156.0313016,1421.57348092,1258.56836685,120654.29036,-25421.2449448,-11156.0313016,-3837.81792764,-9907.75979827,-2126.74128686,-117.376444961,-3370.10435775,-25020.0874731,-4641.84366162,-7620.28132314,-8771.55161397,-5260.60066104,13402.8495658,-5526.36142538,-11576.97248,-1423.59001945,-5124.07435907,-1493.14517387,-6617.21953293,-10662.6756722,-17279.8952051,17.7994204384,46
"150",23,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",23,10,1,108896,53176.1562096,9101.1409409,24257.655249,2232.79765299,53195.903647,141963.653699,1373.1798808,43.6379665001,16525.2591675,1227.44234664,1896.91411787,163030.087179,-42356.6964987,-16525.2591675,-2535.81896948,-12620.0805003,-10901.8026449,-513.652841059,-5543.52566375,-29408.8251543,-5076.05799662,-7865.64477226,-10329.8051276,-8616.8641524,10736.0536899,-7729.20562225,-15568.0003495,-679.991232919,-13241.1435147,-3514.65784345,-16755.8013582,-7377.60981707,-24133.4111752,28.4565534088,30
"152",23,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",23,11,1,215692,84363.9859717,5926.56185264,14242.8480426,2600.49526311,60511.4494449,167645.340575,1256.43735173,97.7645513046,23439.6815146,2323.96809761,2524.34130765,197287.533398,-47196.0645905,-23439.6815146,-7774.94188009,-16199.8253962,-9322.75391544,-731.768098446,-7111.70130951,-30848.8167201,-5145.83380144,-8967.75498428,-12809.5698036,-7583.23973337,20155.5816501,-9241.58784401,-16474.3113857,-1695.23711005,-7255.55468965,-1627.7682838,-8883.32297345,-11248.6732974,-20131.9962708,38.4369633552,62
"154",23,11,5,1,111.64,47188.22,700,3246.17,53384.37,104630.41,2952.22,92.16,1891.53,751.15,2605.97,112923.44,-27714.53,-1891.53,0,-6143.13,-996.77,-425.59,-2414.47,-17244.9,-11011.11,-7302.63,-10031.18,-5702.88,21428.6,-4275.38,-18421.82,-1805.26,-3073.86,-2727.14,-5801,-18032.62,-23833.64,0.12,-2
"155",24,-1,1,1687551,36313.9381618,26021.5821437,26411.7696779,2393.31619322,49934.9588285,141075.565005,5084.35440912,281.324207215,10354.2674462,1143.15280824,3097.29896479,161035.962841,-42089.560543,-10354.2674462,-3225.96682731,-9379.75815965,-8937.55682255,-880.998272965,-6433.90100457,-25613.6471941,-7104.88038891,-7961.61444687,-10401.4168976,-7002.90465239,21588.6540972,-7391.24265628,-16245.3668352,-1443.37342326,-3491.32881757,-2186.71981182,-5678.04862939,-13600.2592081,-19278.3078374,16.0127480651,385
"156",24,-1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",24,1,1,215787,18864.08663,29412.7156306,37599.9635531,2284.86392911,50760.9889816,138922.618724,1449.02120049,45.7936122195,7090.84727574,1299.72997192,6325.02371973,155133.034505,-40362.2170217,-7090.84727574,-622.397899317,-9469.34037936,-12334.0495231,-183.368735281,-9220.10728125,-21849.7360453,-7110.45270378,-8280.68215347,-11762.5438041,-7653.19772021,19194.0939619,-7133.48588108,-18788.5419459,-1558.91918809,-8286.8530532,-1489.91613948,-9776.76919268,-16835.9047425,-26612.6739351,7.00600731277,52
"158",24,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",24,2,1,365588,25275.0218149,37162.5950446,41118.5052969,2652.68207488,44883.3163375,151092.120569,5899.23286842,130.53873021,5901.55544873,889.674666154,3926.70362413,167839.825906,-47586.8910917,-5901.55544873,-3041.55444424,-8990.00513923,-11063.8430488,-983.133940064,-7380.78548046,-22739.0368612,-6475.93525789,-7599.13764049,-9707.10258192,-7916.88151154,28368.4464301,-6931.78899184,-13951.2494,-1677.59825391,5807.80978432,-2774.07033387,3033.73945045,-16504.7270988,-13470.9876476,12.9052659278,79
"160",24,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",24,4,1,182998,46490.2414999,24924.3472396,15349.578755,2052.50367731,43265.4074973,132082.078669,9225.14536263,1813.11701494,10758.328613,384.824920218,2085.2588925,156348.753472,-50074.6240338,-10758.328613,-8965.55190767,-7906.87582138,-5226.16944994,-579.410111805,-5242.36296899,-27808.9640324,-8100.53750861,-7497.14126362,-10322.1965263,-4965.24854195,8901.34269287,-4375.26761522,-13403.4310696,-963.840014372,-9841.19600635,-2410.2584372,-12251.4544435,-10868.4066007,-23119.8610443,16.7414944426,28
"162",24,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
